model_name,lr,batch_size,hidden_size,num_layers,enc_dropout,dec_dropout,epoch,total_epoch,train_loss,valid_loss
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,0,5,14.412154485940933,9.519163398742675
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,1,5,8.148852353572845,8.561999583244324
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,2,5,7.402273068428039,8.14047562599182
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,3,5,6.871678213357925,8.000022716522217
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,4,5,6.524066117286682,7.800154976844787
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,5,5,7.038142021894455,7.227955975532532
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,6,5,6.68082769036293,7.144644527435303
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,7,5,6.450746721982956,7.102052855491638
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,8,5,6.243774497032166,7.083962187767029
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,9,5,6.062104767799378,7.1241837501525875
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,10,5,5.901452996969223,7.200222020149231
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,11,5,5.765079282522201,7.253400630950928
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,12,5,5.6455987737178805,7.337083749771118
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,13,5,5.526233625650406,7.389553213119507
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,14,5,5.43697145819664,7.492427716255188
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,15,5,5.345281448602677,7.548241043090821
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,16,5,5.258024666309357,7.639024829864502
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,17,5,5.191700706958771,7.679977946281433
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,18,5,5.123205211162567,7.733527555465698
piv_endefr_74kset.pt,0.001,64,512,no-num_layers,0.5,0.5,19,5,5.069376286745071,7.824052429199218
piv_endefr_74kset.pt,0.0003,64,512,no-num_layers,0.5,0.5,20,5,3.031336844563484,6.031382430791854
piv_endefr_74kset.pt,0.0003,64,512,no-num_layers,0.5,0.5,21,5,2.7528155720233918,6.1257228708267215
piv_endefr_74kset.pt,0.0003,64,512,no-num_layers,0.5,0.5,22,5,2.6686142724752426,6.19695006608963
piv_endefr_74kset_2.pt,0.001,64,512,no-num_layers,0.5,0.5,0,20,14.019948620319367,10.0887562084198
piv_endefr_74kset_2.pt,0.001,64,512,no-num_layers,0.5,0.5,0,20,13.955954456090927,10.063894872665406
piv_endefr_74kset_2.pt,0.001,64,512,no-num_layers,0.5,0.5,1,20,7.7689754676818845,9.025124845504761
piv_endefr_74kset_2.pt,0.001,64,512,no-num_layers,0.5,0.5,2,20,7.002789215564728,8.674658975601197
piv_endefr_74kset_2.pt,0.001,64,512,no-num_layers,0.5,0.5,3,20,6.55535731959343,8.530336952209472
piv_endefr_74kset_2.pt,0.001,64,512,no-num_layers,0.5,0.5,4,20,6.243072215557098,8.427786617279052
piv_endefr_74kset_2.pt,0.0003,64,512,no-num_layers,0.5,0.5,5,20,5.990335018634796,8.407904453277588
piv_endefr_74kset_2.pt,0.0003,64,512,no-num_layers,0.5,0.5,6,20,3.902796095252037,6.599374299049377
piv_endefr_74kset_2.pt,0.0003,64,512,no-num_layers,0.5,0.5,7,20,3.7103982399106026,6.641953372955323
piv_endefr_74kset_2.pt,0.0003,64,512,no-num_layers,0.5,0.5,8,20,3.600097854733467,6.670129370689392
piv_endefr_74kset_2.pt,0.0003,64,512,no-num_layers,0.5,0.5,9,20,3.5078829095959665,6.713205046653748
piv_endefr_74kset_2.pt,0.0003,64,512,no-num_layers,0.5,0.5,10,20,3.4194687899947165,6.764658513069153
piv_endefr_74kset_2.pt,8.999999999999999e-05,64,512,no-num_layers,0.5,0.5,11,20,3.3466136931180954,6.76218288898468
piv_endefr_74kset_2.pt,8.999999999999999e-05,64,512,no-num_layers,0.5,0.5,12,20,2.6969103224277498,6.2848721575737
piv_endefr_74kset_2.pt,8.999999999999999e-05,64,512,no-num_layers,0.5,0.5,13,20,2.6287055785953997,6.312590951919556
piv_endefr_74kset_2.pt,8.999999999999999e-05,64,512,no-num_layers,0.5,0.5,14,20,2.607106018036604,6.331958394050599
piv_endefr_74kset_2.pt,8.999999999999999e-05,64,512,no-num_layers,0.5,0.5,15,20,2.5784623234272,6.352492527961731
piv_endefr_74kset_2.pt,8.999999999999999e-05,64,512,no-num_layers,0.5,0.5,16,20,2.519678433686495,6.374745054244995
piv_endefr_74kset_2.pt,2.6999999999999996e-05,64,512,no-num_layers,0.5,0.5,17,20,2.488404783651233,6.392981176376343
piv_endefr_74kset_2.pt,2.6999999999999996e-05,64,512,no-num_layers,0.5,0.5,18,20,2.3073969473466276,6.2489691257476805
piv_endefr_74kset_2.pt,2.6999999999999996e-05,64,512,no-num_layers,0.5,0.5,19,20,2.2746808463558557,6.256300525665283
attn_enfr_160kset.pt,0.001,64,512,no-num_layers,0.5,0.5,0,20,4.1265081195533275,3.5202560806274414
attn_enfr_160kset.pt,0.001,64,512,no-num_layers,0.5,0.5,1,20,2.8374277051463723,3.0621603044867514
attn_enfr_160kset.pt,0.001,64,512,no-num_layers,0.5,0.5,2,20,2.4349618683410807,2.947231905832887
attn_enfr_160kset.pt,0.001,64,512,no-num_layers,0.5,0.5,3,20,2.1955705730039625,2.921000813283026
attn_enfr_160kset.pt,0.001,64,512,no-num_layers,0.5,0.5,4,20,2.0567986476728692,2.903679105937481
attn_enfr_160kset.pt,0.001,64,512,no-num_layers,0.5,0.5,5,20,1.9357257612925023,2.9644022740051152
attn_enfr_160kset.pt,0.000333,64,512,no-num_layers,0.5,0.5,6,20,1.8252751059383154,3.0141417076671497
attn_enfr_160kset.pt,0.000333,64,512,no-num_layers,0.5,0.5,7,20,1.5836442481288686,2.954996676677838
attn_enfr_160kset.pt,0.000333,64,512,no-num_layers,0.5,0.5,8,20,1.4976645597387106,2.9963069157768043
attn_enfr_160kset.pt,0.000333,64,512,no-num_layers,0.5,0.5,9,20,1.42430113761127,3.0533298294106497
attn_enfr_160kset.pt,0.000333,64,512,no-num_layers,0.5,0.5,10,20,1.3763873580098152,3.0897859334992246
attn_enfr_160kset.pt,0.000333,64,512,no-num_layers,0.5,0.5,11,20,1.3365623684655874,3.076694087795913
